Geo Point;Geo Shape;gml_id;code_insee;nom
48.42620720367703, -1.5741734468688549;"{""coordinates"": [-1.574173446868855, 48.42620720367703], ""type"": ""Point""}";petite_cite_caractere.35019;35019;Bazouges-la-Pérouse
48.549799684963915, -1.7509463549282982;"{""coordinates"": [-1.750946354928298, 48.549799684963915], ""type"": ""Point""}";petite_cite_caractere.35095;35095;Dol-de-Bretagne
48.06835442667918, -3.2033375060555636;"{""coordinates"": [-3.203337506055564, 48.06835442667918], ""type"": ""Point""}";petite_cite_caractere.56073;56073;Guémené-sur-Scorff
48.51736154996451, -3.5885612964470375;"{""coordinates"": [-3.588561296447037, 48.51736154996451], ""type"": ""Point""}";petite_cite_caractere.29067;29067;Guerlesquin
47.955918434835745, -2.5483748619982878;"{""coordinates"": [-2.548374861998288, 47.955918434835745], ""type"": ""Point""}";petite_cite_caractere.56091;56091;Josselin
48.74645817871713, -3.2598783930951023;"{""coordinates"": [-3.259878393095102, 48.74645817871713], ""type"": ""Point""}";petite_cite_caractere.22264;22264;La Roche-Derrien
48.359191828729976, -2.633116686841463;"{""coordinates"": [-2.633116686841463, 48.359191828729976], ""type"": ""Point""}";petite_cite_caractere.22153;22153;Moncontour
47.70653666291481, -3.353286887494919;"{""coordinates"": [-3.353286887494919, 47.70653666291481], ""type"": ""Point""}";petite_cite_caractere.56181;56181;Port-Louis
48.40367510540501, -2.9094908964274766;"{""coordinates"": [-2.909490896427477, 48.40367510540501], ""type"": ""Point""}";petite_cite_caractere.22262;22262;Quintin
48.40869019308683, -1.7517586637650195;"{""coordinates"": [-1.75175866376502, 48.40869019308683], ""type"": ""Point""}";petite_cite_caractere.35085;35085;Combourg
47.941319270201745, -1.2298036719423482;"{""coordinates"": [-1.229803671942348, 47.941319270201745], ""type"": ""Point""}";petite_cite_caractere.35125;35125;La Guerche-de-Bretagne
47.51827402229555, -2.2991039468320307;"{""coordinates"": [-2.299103946832031, 47.51827402229555], ""type"": ""Point""}";petite_cite_caractere.56195;56195;La Roche-Bernard
48.294227170374675, -4.177409832807108;"{""coordinates"": [-4.177409832807108, 48.294227170374675], ""type"": ""Point""}";petite_cite_caractere.29053;29053;Le Faou
48.04199648806621, -4.4891976708426675;"{""coordinates"": [-4.489197670842668, 48.04199648806621], ""type"": ""Point""}";petite_cite_caractere.29218;29218;Pont-Croix
48.698414812089325, -3.1594543084208238;"{""coordinates"": [-3.159454308420824, 48.698414812089325], ""type"": ""Point""}";petite_cite_caractere.22250;22250;Pontrieux
47.69950521211691, -2.3366101949570512;"{""coordinates"": [-2.336610194957051, 47.69950521211691], ""type"": ""Point""}";petite_cite_caractere.56196;56196;Rochefort-en-Terre
48.72655998361793, -3.985757395789487;"{""coordinates"": [-3.985757395789487, 48.72655998361793], ""type"": ""Point""}";petite_cite_caractere.29239;29239;Roscoff
48.25957766731701, -1.3987073722438834;"{""coordinates"": [-1.398707372243883, 48.25957766731701], ""type"": ""Point""}";petite_cite_caractere.35253;35253;Saint-Aubin-du-Cormier
48.78500060256347, -3.2324030650063946;"{""coordinates"": [-3.232403065006395, 48.78500060256347], ""type"": ""Point""}";petite_cite_caractere.22362;22362;Tréguier
48.29524020547292, -1.945065894898958;"{""coordinates"": [-1.945065894898958, 48.29524020547292], ""type"": ""Point""}";petite_cite_caractere.35022;35022;Bécherel
48.04802924967235, -1.5031479640753609;"{""coordinates"": [-1.503147964075361, 48.04802924967235], ""type"": ""Point""}";petite_cite_caractere.35069;35069;Châteaugiron
48.536774344208176, -2.9988095265902803;"{""coordinates"": [-2.99880952659028, 48.536774344208176], ""type"": ""Point""}";petite_cite_caractere.22206;22206;Châtelaudren
48.56246430952909, -3.1511367011915663;"{""coordinates"": [-3.151136701191566, 48.56246430952909], ""type"": ""Point""}";petite_cite_caractere.22070;22070;Guingamp
48.40915850669737, -2.322141846324644;"{""coordinates"": [-2.322141846324644, 48.40915850669737], ""type"": ""Point""}";petite_cite_caractere.22084;22084;Jugon-les-Lacs
48.455476036763294, -2.0502184349513097;"{""coordinates"": [-2.05021843495131, 48.455476036763294], ""type"": ""Point""}";petite_cite_caractere.22050;22050;Léhon
48.09863945123892, -4.207113616978858;"{""coordinates"": [-4.207113616978858, 48.09863945123892], ""type"": ""Point""}";petite_cite_caractere.29134;29134;Locronan
47.809794378315594, -2.383507248642928;"{""coordinates"": [-2.383507248642928, 47.809794378315594], ""type"": ""Point""}";petite_cite_caractere.56124;56124;Malestroit
48.13793485829393, -1.9558924576398693;"{""coordinates"": [-1.955892457639869, 48.13793485829393], ""type"": ""Point""}";petite_cite_caractere.35188;35188;Montfort-sur-Meu
